NOME DO ESTABELECIMENTO                                                ;MED.AVALIACOES                     ;QNT.AVALIACOES                          ;TIPO DE ESTABELECIMENTO                ;CONTATO DO ESTABELECIMENTO ;ENDERECO COMPLETO                                                                                                                                                                                                  ;LOGRADOURO                                                                                                                                                     ;NUMERO  ;BAIRRO                 ;CEP
ESPAÇO VIDA SAUDÁVEL WELISSON ARAÚJO                                   ;4,7                                ;(7)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98808-2223            ;R CAMPO DO BRITO, 390 - 13 DE JULHO, ARACAJU - SE, 49020-380                                                                                                                                                       ;R CAMPO DO BRITO                                                                                                                                               ;390     ;13 DE JULHO            ;49020380
FARMÁCIA ELEMENTAR ARACAJU SE                                          ;4,7                                ;(12)                                    ;EMPRESA FARMACÊUTICA                   ;(79) 3024-3322             ;AV GONÇALO PRADO ROLEMBERG, 404 - LOJA A TÉRREO - SALGADO FILHO, ARACAJU - SE, 49020-580                                                                                                                           ;AV GONÇALO PRADO ROLEMBERG                                                                                                                                     ;404     ;SALGADO FILHO          ;49020580
ÔMEGAS E CIA                                                           ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99992-4321            ;R CAPELA - CENTRO, ARACAJU - SE, 49010-370                                                                                                                                                                         ;R CAPELA - CENTRO                                                                                                                                              ;ARACAJU ;CENTRO                 ;49010370
CASA NATURAL                                                           ;5,0                                ;(1)                                     ;CENTRO DE SAÚDE E BELEZA               ;(79) 99984-1304            ;AV QUIRINO, 1145 - INÁCIO BARBOSA, ARACAJU - SE, 49040-700                                                                                                                                                         ;AV QUIRINO                                                                                                                                                     ;1145    ;INÁCIO BARBOSA         ;49040700
POINT SUPLE                                                            ;1,0                                ;(1)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3221-1614             ;R LARANJEIRAS, 1091 - GETÚLIO VARGAS, ARACAJU - SE, 49055-380                                                                                                                                                      ;R LARANJEIRAS                                                                                                                                                  ;1091    ;GETÚLIO VARGAS         ;49055380
TNT SUPLEMENTOS MATRIZ                                                 ;4,2                                ;(17)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3211-3342             ;R LARANJEIRAS, 649 - CENTRO, ARACAJU - SE, 49010-000                                                                                                                                                               ;R LARANJEIRAS                                                                                                                                                  ;649     ;CENTRO                 ;49010000
LÍDER AMWAY ARACAJU                                                    ;4,6                                ;(14)                                    ;FORNECEDOR DE PRODUTOS DE LIMPEZA      ;(79) 98854-0209            ;R GEN. CEROA DA MOTA, 210 - 18 DO FORTE, ARACAJU - SE, 49072-275                                                                                                                                                   ;R GEN. CEROA DA MOTA                                                                                                                                           ;210     ;18 DO FORTE            ;49072275
BODYACTION FIT SUPLEMENTOS                                             ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99927-4321            ;AV GOV. PAULO BARRETO DE MENEZES, 590 - 13 DE JULHO, ARACAJU - SE, 49020-010                                                                                                                                       ;AV GOV. PAULO BARRETO DE MENEZES                                                                                                                               ;590     ;13 DE JULHO            ;49020010
MERCADITO FIT BARRA DOS COQUEIROS                                      ;4,8                                ;(42)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 99948-0163            ;ROD. JOSÉ DE CAMPOS, 618 - CENTRO, BARRA DOS COQUEIROS - SE, 49140-000                                                                                                                                             ;ROD. JOSÉ DE CAMPOS                                                                                                                                            ;618     ;                       ;49140000
SONUTRI LOJA DE SUPLEMENTOS, FITOTERÁPICOS E PRODUTOS NATURAIS         ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99643-8766            ;R MAJ. HUNALDO DOS SANTOS - FAROLÂNDIA, ARACAJU - SE, 49030-520                                                                                                                                                    ;R MAJ. HUNALDO DOS SANTOS - FAROLÂNDIA                                                                                                                         ;ARACAJU ;FAROLÂNDIA             ;49030520
SHOP SKULL SUPLEMENTOS                                                 ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98843-3946            ;R: OSVALDO SAMPAIO - NOVO PARAÍSO, ARACAJU - SE, 49082-385                                                                                                                                                         ;R: OSVALDO SAMPAIO - NOVO PARAÍSO                                                                                                                              ;ARACAJU ;NOVO PARAÍSO           ;49082385
GIFF SUPLEMENTOS                                                       ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99952-6792            ;R SÃO FRANCISCO DE ASSIS, 696 - SALA 13 - SANTOS DUMONT, ARACAJU - SE, 49087-000                                                                                                                                   ;R SÃO FRANCISCO DE ASSIS                                                                                                                                       ;696     ;SANTOS DUMONT          ;49087000
SUPLEMENTOS DE ACADEMIA                                                ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(21) 97179-1921            ;R SÃO FRANCISCO DE ASSIS, 661 - SANTOS DUMONT, ARACAJU - SE, 49087-000                                                                                                                                             ;R SÃO FRANCISCO DE ASSIS                                                                                                                                       ;661     ;SANTOS DUMONT          ;49087000
MM SUPLEMENTOS 17SE                                                    ;5,0                                ;(6)                                     ;LOJA DE ARTIGOS ESPORTIVOS             ;(79) 99916-7698            ;AV ARACAJU, 391 - JOÃO ALVES, NOSSA SRA. DO SOCORRO - SE, 49160-000                                                                                                                                                ;AV ARACAJU                                                                                                                                                     ;391     ;                       ;49160000
SLIMCENTER                                                             ;5,0                                ;(2)                                     ;CENTRO DE SAÚDE E BELEZA               ;(79) 99810-9501            ;R ENG. HERNAN CENTURION, 760 - SALA 4 - JARDINS, ARACAJU - SE, 49025-170                                                                                                                                           ;R ENG. HERNAN CENTURION                                                                                                                                        ;760     ;JARDINS                ;49025170
CASA NUTRI SLIM                                                        ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE PRODUTOS DE NUTRIÇÃO ESPORTIVA ;(79) 99995-1344            ;R PASSOS CABRAL 34 SALA B FUNDO DA IGREJA CATÓLICA SANTA RITA DE CASSIA FICA ENFRENTE A ENTRADA DE MORADORES DO CONDOMÍNIO VIVENDAS DE ARACAJU SIQUEIRA CAMPOS, CONJUNTO COSTE SILVA, PRO, ARACAJU - SE, 49075-260 ;R PASSOS CABRAL 34 SALA B FUNDO DA IGREJA CATÓLICA SANTA RITA DE CASSIA FICA ENFRENTE A ENTRADA DE MORADORES DO CONDOMÍNIO VIVENDAS DE ARACAJU SIQUEIRA CAMPOS ;ARACAJU ;                       ;49075260
FORTIN SUPLEMENTOS NUTRICIONAIS                                        ;5,0                                ;(3)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99899-6093            ;ENDEREÇO R SESSENTA E UM, 12 - SALA 5, CONJUNTO EDUARDO GOMES - ROSA ELZE, SÃO CRISTÓVÃO - SE, 49100-000                                                                                                           ;ENDEREÇO R SESSENTA E UM                                                                                                                                       ;12      ;                       ;49100000
SUPLE079                                                               ;5,0                                ;(3)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;Contato não disponível     ;R ARNALDO DANTAS, 450 - SANTO ANTÔNIO, ARACAJU - SE, 49060-040                                                                                                                                                     ;R ARNALDO DANTAS                                                                                                                                               ;450     ;SANTO ANTÔNIO          ;49060040
SÓ BORA SUPLEMENTOS                                                    ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99695-1750            ;R JOSÉ SEVERO DOS SANTOS, 274 - INDUSTRIAL, ARACAJU - SE, 49066-230                                                                                                                                                ;R JOSÉ SEVERO DOS SANTOS                                                                                                                                       ;274     ;INDUSTRIAL             ;49066230
ALKHEMIAS EMPÓRIO NATURAL                                              ;4,6                                ;(22)                                    ;LOJA                                   ;(79) 99933-9368            ;R EDUARDO CRUZ, N° 252 - INDUSTRIAL, ARACAJU - SE, 49065-330                                                                                                                                                       ;R EDUARDO CRUZ                                                                                                                                                 ;ARACAJU ;INDUSTRIAL             ;49065330
PORÃO SUPLEMENTOS                                                      ;5,0                                ;(8)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98846-0727            ;AV GOV. SEBASTIÃO CELSO DE CARVALHO, 1288 - MARCOS FREIRE II, NOSSA SRA. DO SOCORRO - SE, 49160-000                                                                                                                ;AV GOV. SEBASTIÃO CELSO DE CARVALHO                                                                                                                            ;1288    ;                       ;49160000
REI DOS NATURAIS                                                       ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE PRODUTOS NATURAIS              ;(79) 99105-5849            ;R JOÃO PESSOA, 607 - LOJA 35 - CENTRO, ARACAJU - SE, 49010-110                                                                                                                                                     ;R JOÃO PESSOA                                                                                                                                                  ;607     ;CENTRO                 ;49010110
NUTRI VIDA                                                             ;5,0                                ;(2)                                     ;LOJA DE PRODUTOS NATURAIS              ;(79) 3215-3015             ;AV PRES. JUSCELINO KUBITSCHECK, 899 - SANTOS DUMONT, ARACAJU - SE, 49087-020                                                                                                                                       ;AV PRES. JUSCELINO KUBITSCHECK                                                                                                                                 ;899     ;SANTOS DUMONT          ;49087020
ATIVA PRODUTOS MÉDICOS HOSPITALARES                                    ;4,8                                ;(33)                                    ;LOJA DE ARTIGOS HOSPITALARES           ;(79) 3211-7432             ;R LEONEL CURVELO, 868 - SUÍÇA, ARACAJU - SE, 49052-125                                                                                                                                                             ;R LEONEL CURVELO                                                                                                                                               ;868     ;SUÍÇA                  ;49052125
TUBARÃO AJU SUPLEMENTOS                                                ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99634-0633            ;AV POÇO DO MERO, 284 - BUGIO, ARACAJU - SE, 49090-000                                                                                                                                                              ;AV POÇO DO MERO                                                                                                                                                ;284     ;BUGIO                  ;49090000
DINO SUPLEMENTOS                                                       ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98144-5221            ;R ISMAEL PEREIRA, 370 - SANTOS DUMONT, ARACAJU - SE, 49087-290                                                                                                                                                     ;R ISMAEL PEREIRA                                                                                                                                               ;370     ;SANTOS DUMONT          ;49087290
TNT SUPLEMENTOS SHOPPING JARDINS                                       ;4,5                                ;(2)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99125-1909            ;AV MINISTRO GERALDO BARRETO SOBRAL - JARDINS, ARACAJU - SE, 49026-010                                                                                                                                              ;AV MINISTRO GERALDO BARRETO SOBRAL - JARDINS                                                                                                                   ;ARACAJU ;JARDINS                ;49026010
REDE SPN                                                               ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3012-2036             ;AV MINISTRO GERALDO BARRETO SOBRAL, 215 - JARDINS, ARACAJU - SE, 49026-010                                                                                                                                         ;AV MINISTRO GERALDO BARRETO SOBRAL                                                                                                                             ;215     ;JARDINS                ;49026010
TNT PRIME                                                              ;5,0                                ;(1)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3211-3342             ;AV JORGE AMADO, 845 - 13 DE JULHO, ARACAJU - SE, 49025-330                                                                                                                                                         ;AV JORGE AMADO                                                                                                                                                 ;845     ;13 DE JULHO            ;49025330
LIFECENTER SUPLEMNTOS                                                  ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3085-9479             ;AV CHANC OSVALDO ARANHA, 690 - LOJA A - JOSÉ CONRADO DE ARAÚJO, ARACAJU - SE, 49010-180                                                                                                                            ;AV CHANC OSVALDO ARANHA                                                                                                                                        ;690     ;JOSÉ CONRADO DE ARAÚJO ;49010180
PRODUTOS HERBALIFE PRONTA ENTREGA ARACAJU E REGIÃO                     ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98859-7410            ;AV CONSELHEIRO JOÃO MOREIRA FILHO, 2151 - COROA DO MEIO, ARACAJU - SE, 49035-655                                                                                                                                   ;AV CONSELHEIRO JOÃO MOREIRA FILHO                                                                                                                              ;2151    ;COROA DO MEIO          ;49035655
REVITALLE                                                              ;5,0                                ;(3)                                     ;LOJA DE PRODUTOS NATURAIS              ;(79) 99899-2881            ;AV, R RIO GRANDE DO SUL, 137 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-510                                                                                                                                            ;AV                                                                                                                                                             ;137     ;SIQUEIRA CAMPOS        ;49075510
EVS HERBALIFE CENTRO RUA ITABAIANA 211                                 ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99972-2949            ;R CAMPO DO BRITO, 1051 - SALA 11 - 13 DE JULHO, ARACAJU - SE, 49010-170                                                                                                                                            ;R CAMPO DO BRITO                                                                                                                                               ;1051    ;13 DE JULHO            ;49010170
TNT FARMA                                                              ;5,0                                ;(1)                                     ;EMPRESA FARMACÊUTICA                   ;(79) 3211-5544             ;R CAMPO DO BRITO, 1051 - 13 DE JULHO, ARACAJU - SE, 49020-590                                                                                                                                                      ;R CAMPO DO BRITO                                                                                                                                               ;1051    ;13 DE JULHO            ;49020590
FLORA BRASIL | PRODUTOS NATURAIS                                       ;4,8                                ;(9)                                     ;LOJA DE PRODUTOS NATURAIS              ;(79) 3025-6799             ;R BAHIA, 440 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-000                                                                                                                                                            ;R BAHIA                                                                                                                                                        ;440     ;SIQUEIRA CAMPOS        ;49075000
RAIZES HORTIFRUTI - ARACAJU                                            ;5,0                                ;(9)                                     ;EMPÓRIO GOURMET                        ;(79) 99133-7420            ;R MONSENHOR OLÍVIO TEIXEIRA, 1333 - SALA 4 - JARDINS, ARACAJU - SE, 49026-225                                                                                                                                      ;R MONSENHOR OLÍVIO TEIXEIRA                                                                                                                                    ;1333    ;JARDINS                ;49026225
DISTRIBUIDORA SILVA                                                    ;1,0                                ;(1)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3215-3909             ;R JAPARATUBA, 802 - SANTO ANTÔNIO, ARACAJU - SE, 49060-300                                                                                                                                                         ;R JAPARATUBA                                                                                                                                                   ;802     ;SANTO ANTÔNIO          ;49060300
LIFECENTER SUPLEMENTOS                                                 ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3023-3986             ;R PARAÍBA, 690 - AMÉRICA, ARACAJU - SE, 49085-510                                                                                                                                                                  ;R PARAÍBA                                                                                                                                                      ;690     ;AMÉRICA                ;49085510
SHOPPING DO DEDÉ                                                       ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE PRODUTOS DE BELEZA             ;(79) 99962-5816            ;R JUAREZ DE OLIVEIRA RIBEIRO, 21 - FAROLÂNDIA, ARACAJU - SE, 49031-220                                                                                                                                             ;R JUAREZ DE OLIVEIRA RIBEIRO                                                                                                                                   ;21      ;FAROLÂNDIA             ;49031220
TRACK&FIELD                                                            ;4,6                                ;(68)                                    ;LOJA                                   ;Contato não disponível     ;R CAP. BENEDITO TEÓFILO OTONÍ, 392 - 13 DE JULHO, ARACAJU - SE, 49020-050                                                                                                                                          ;R CAP. BENEDITO TEÓFILO OTONÍ                                                                                                                                  ;392     ;13 DE JULHO            ;49020050
ALOE COM CANELA                                                        ;1,0                                ;(1)                                     ;LOJA DE PRODUTOS NATURAIS              ;(79) 4141-2803             ;R PACATUBA, 208 - CENTRO, ARACAJU - SE, 49010-150                                                                                                                                                                  ;R PACATUBA                                                                                                                                                     ;208     ;CENTRO                 ;49010150
ROVAL FARMÁCIA DE MANIPULAÇÃO ARACAJU: SUPLEMENTOS, CHÁS, NUTRIÇÃO, SE ;3,4                                ;(12)                                    ;FARMÁCIA                               ;(79) 3512-1727             ;AV HERMES FONTES, 722 - LOJA A - SUÍÇA, ARACAJU - SE, 49052-000                                                                                                                                                    ;AV HERMES FONTES                                                                                                                                               ;722     ;SUÍÇA                  ;49052000
LOJA PERFORMANCE                                                       ;5,0                                ;(2)                                     ;LOJA                                   ;Contato não disponível     ;R DR WILSON ROCHA, 744. BAIRRO - GRAGERU, ARACAJU - SE, 49025-130                                                                                                                                                  ;R DR WILSON ROCHA                                                                                                                                              ;ARACAJU ;GRAGERU                ;49025130
SS SUPRIMENTOS                                                         ;4,6                                ;(52)                                    ;LOJA DE VARIEDADES                     ;(79) 3024-5044             ;AV AUGUSTO FRANCO, 1899 - PEREIRA LOBO, ARACAJU - SE, 49052-230                                                                                                                                                    ;AV AUGUSTO FRANCO                                                                                                                                              ;1899    ;PEREIRA LOBO           ;49052230
FOCO FIT3 SUPLEMENTOS                                                  ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98145-9500            ;R TRINTA E SEIS, 467 - PARQUE DOS FARÓIS, NOSSA SRA. DO SOCORRO - SE, 49160-000                                                                                                                                    ;R TRINTA E SEIS                                                                                                                                                ;467     ;                       ;49160000
CONSULTOR HERBALIFE - CLÁUDIO MAYNART                                  ;5,0                                ;(2)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99803-6992            ;BLOCO 5 - R JASIEL DE BRITO CORTEZ, 50 - QUALIVIDA CLUB RESIDENCE, APT 306 - JABOTIANA, ARACAJU - SE, 49095-780                                                                                                    ;BLOCO 5 - R JASIEL DE BRITO CORTEZ                                                                                                                             ;50      ;JABOTIANA              ;49095780
THE SLEX                                                               ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98825-0859            ;R SÃO CRISTÓVÃO, 1192 - CENTRO, ARACAJU - SE, 49055-620                                                                                                                                                            ;R SÃO CRISTÓVÃO                                                                                                                                                ;1192    ;CENTRO                 ;49055620
AMINO RIGHT ARACAJU                                                    ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99640-0490            ;(79) 99640-0490                                                                                                                                                                                                    ;                                                                                                                                                               ;        ;                       ;        
PRIME7 SUPLEMENTOS                                                     ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99914-5634            ;(79) 99914-5634                                                                                                                                                                                                    ;                                                                                                                                                               ;        ;                       ;        
DROGARIAS ULTRA POPULAR                                                ;4,9                                ;(134)                                   ;FARMÁCIA                               ;(79) 99686-2140            ;AV FRANCISCO PORTO, 151 - JARDINS, ARACAJU - SE, 49025-230                                                                                                                                                         ;AV FRANCISCO PORTO                                                                                                                                             ;151     ;JARDINS                ;49025230
BRUMAR SHOPPING RIOMAR                                                 ;4,2                                ;(5)                                     ;LOJA DE ALIMENTOS ORGÂNICOS            ;Contato não disponível     ;AV DELMIRO GOUVEIA, 400 - COROA DO MEIO, ARACAJU - SE, 49035-500                                                                                                                                                   ;AV DELMIRO GOUVEIA                                                                                                                                             ;400     ;COROA DO MEIO          ;49035500
DROGARIA SUPERFARMA POPULAR - SIQUEIRA CAMPOS                          ;5,0                                ;(38)                                    ;FARMÁCIA                               ;(79) 99608-7170            ;R SANTA CATARINA, 224 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-520                                                                                                                                                   ;R SANTA CATARINA                                                                                                                                               ;224     ;SIQUEIRA CAMPOS        ;49075520
TNT OUTLET SIQUEIRA CAMPOS                                             ;5,0                                ;(3)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99125-1909            ;ANEXO AO POSTO BR - AV CHANCELER OSVALDO ARANHA, 704 - SIQUEIRA CAMPOS, ARACAJU - SE, 49085-100                                                                                                                    ;ANEXO AO POSTO BR - AV CHANCELER OSVALDO ARANHA                                                                                                                ;704     ;SIQUEIRA CAMPOS        ;49085100
LIFE4 SUPLEMENTOS                                                      ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99121-1141            ;AV MANOEL PEDRO DOS SANTOS NETO, 276 - MARCOS FREIRE II, NOSSA SRA. DO SOCORRO - SE, 49160-000                                                                                                                     ;AV MANOEL PEDRO DOS SANTOS NETO                                                                                                                                ;276     ;                       ;49160000
TUCHE FITNESS                                                          ;5,0                                ;(1)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3241-8694             ;AV HERMES FONTES, 96 - SUÍÇA, ARACAJU - SE, 49015-260                                                                                                                                                              ;AV HERMES FONTES                                                                                                                                               ;96      ;SUÍÇA                  ;49015260
REGATASAJU MODA FITNESS                                                ;4,6                                ;(92)                                    ;LOJA                                   ;(79) 3085-7669             ;AV DES. MAYNARD, 1094 - SUÍÇA, ARACAJU - SE, 49055-210                                                                                                                                                             ;AV DES. MAYNARD                                                                                                                                                ;1094    ;SUÍÇA                  ;49055210
MIASKOK DERMOCOSMÉTICOS                                                ;5,0                                ;(7)                                     ;LOJA DE PRODUTOS DE BELEZA             ;(79) 99161-3716            ;GALERIA ÀLAMO - R CAMPO DO BRITO, 167 - SALA 1 - 13 DE JULHO, ARACAJU - SE, 49020-380                                                                                                                              ;GALERIA ÀLAMO - R CAMPO DO BRITO                                                                                                                               ;167     ;13 DE JULHO            ;49020380
FARIAS SUPLEMENTOS                                                     ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99689-5704            ;CENTRO HISTÓRICO, NOSSA SRA. DO SOCORRO - SE, 49160-000                                                                                                                                                            ;CENTRO HISTÓRICO                                                                                                                                               ;49160   ;                       ;49160000
HEALTH & WELLNESS                                                      ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;Contato não disponível     ;ENDEREÇO NÃO DISPONÍVEL                                                                                                                                                                                            ;                                                                                                                                                               ;        ;                       ;        
ESPAÇO VIDA SAUDÁVEL WAGNER E SHEILA                                   ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;ACADEMIA DE GINÁSTICA OLÍMPICA         ;(79) 99931-9453            ;R AMAZONAS, 825 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-240                                                                                                                                                         ;R AMAZONAS                                                                                                                                                     ;825     ;SIQUEIRA CAMPOS        ;49075240
